Reaction,EC-Number,Substrates,Products of reaction,Enzymes of a reaction,Genes of a reaction,Pathways of a reaction
a quinone + NAD(P)H + H+  ->  a quinol + NAD(P)+,EC-1.6.5.2,H<SUP>+</SUP> // NAD(P)H // a quinone // a quinol // NAD(P)<sup>+</sup>,a quinol // NAD(P)<sup>+</sup>,NAD(P)H-dependent nitroreductase NfsB,nfsB,
a (1->4)-beta-D-xylan + n H2O  ->  alpha-D-xylopyranose,EC-3.2.1.177,H<sub>2</sub>O // a (1&rarr;4)-&beta;-D-xylan // &alpha;-D-xylopyranose,&alpha;-D-xylopyranose,&alpha;-D-xyloside xylohydrolase,yicI,
geranyl diphosphate + H2O  ->  geranyl monophosphate + phosphate + H+,EC-3.6.1.68,H<sub>2</sub>O // geranyl diphosphate // geranyl monophosphate // phosphate // H<SUP>+</SUP>,geranyl monophosphate // phosphate // H<SUP>+</SUP>,pyrimidine deoxynucleotide diphosphatase NudI,nudI,
(S)-malate  <-->  fumarate + H2O,EC-4.2.1.2,(<i>S</i>)-malate // fumarate // H<sub>2</sub>O,fumarate // H<sub>2</sub>O,fumarase E // fumarase D // fumarase A // fumarase B // fumarase C,fumC // fumB // fumA // fumD // fumE,mixed acid fermentation // TCA cycle I (prokaryotic)
a [protein]-N6-acetyl-L-lysine + NAD+ + H2O  ->  a [protein]-L-lysine + 2''-O-acetyl-ADP-ribose + nicotinamide,EC-2.3.1.286,H<sub>2</sub>O // NAD<sup>+</sup> // a [protein]-<i>N</i><sup>6</sup>-acetyl-L-lysine // a [protein]-L-lysine // 2''-<i>O</i>-acetyl-ADP-ribose // nicotinamide,a [protein]-L-lysine // 2''-<i>O</i>-acetyl-ADP-ribose // nicotinamide,protein-lysine deacetylase/desuccinylase/delipoylase,cobB,
ATP + 2-succinylbenzoate + coenzyme A  ->  AMP + 4-(2'-carboxyphenyl)-4-oxobutyryl-CoA + diphosphate,EC-6.2.1.26,coenzyme A // 2-succinylbenzoate // ATP // AMP // diphosphate // 4-(2'-carboxyphenyl)-4-oxobutyryl-CoA,AMP // diphosphate // 4-(2'-carboxyphenyl)-4-oxobutyryl-CoA,o-succinylbenzoate--CoA ligase,menE,"2-carboxy-1,4-naphthoquinol biosynthesis"
malonyl-[acp] + H+  ->  acetyl-[acp] + CO2,EC-4.1.1.124,H<SUP>+</SUP> // a malonyl-[acp] // an acetyl-[acp] // CO<SUB>2</SUB>,an acetyl-[acp] // CO<SUB>2</SUB>,malonyl-ACP decarboxylase // 3-oxoacyl-[acyl carrier protein] synthase 1,fabB // madA,fatty acid biosynthesis initiation III
oxamate + carbamoyl phosphate  <-->  N-carbamoyl-2-oxoglycine + phosphate,EC-2.1.3.5,carbamoyl phosphate // oxamate // phosphate // <i>N</i>-carbamoyl-2-oxoglycine,phosphate // <i>N</i>-carbamoyl-2-oxoglycine,oxamate carbamoyltransferase subunit AllH // oxamate carbamoyltransferase subunit AllG // oxamate carbamoyltransferase subunit AllF,allH // allG // allF,allantoin degradation IV (anaerobic)
S-adenosyl-L-methionine + 3-demethylubiquinol-8  ->  S-adenosyl-L-homocysteine + ubiquinol-8 + H+,EC-2.1.1.64,3-demethylubiquinol-<i>8</i> // <i>S</i>-adenosyl-L-methionine // H<SUP>+</SUP> // ubiquinol-<i>8</i> // <i>S</i>-adenosyl-L-homocysteine,H<SUP>+</SUP> // ubiquinol-<i>8</i> // <i>S</i>-adenosyl-L-homocysteine,bifunctional 3-demethylubiquinone-<i>8</i> 3-<i>O</i>-methyltransferase and 2-octaprenyl-6-hydroxyphenol methylase,ubiG,ubiquinol-8 biosynthesis (anaerobic) // ubiquinol-8 biosynthesis (early decarboxylation)
NAD(P)H + H+ + dioxygen  ->  hydrogen peroxide + NAD(P)+,EC-1.6.3.1,dioxygen // H<SUP>+</SUP> // NAD(P)H // NAD(P)<sup>+</sup> // hydrogen peroxide,NAD(P)<sup>+</sup> // hydrogen peroxide,soluble pyridine nucleotide transhydrogenase,sthA,
adenylyl MoO2(OH)-molybdopterin cofactor + H2O  ->  AMP + MoO2(OH)-molybdopterin cofactor + 2 H+,,H<sub>2</sub>O // adenylyl MoO<sub>2</sub>(OH)-molybdopterin cofactor // MoO<sub>2</sub>(OH)-molybdopterin cofactor // AMP // H<SUP>+</SUP>,MoO<sub>2</sub>(OH)-molybdopterin cofactor // AMP // H<SUP>+</SUP>,molybdopterin molybdotransferase,moeA,
"2-methoxy-6-(all-trans-octaprenyl)phenol + prephenate + oxidized electron carrier + H+  ->  2-methoxy-6-(all trans-octaprenyl)benzene-1,4-diol + 3-phenyl-2-oxopropanoate + CO2 + reduced two electron carrier",EC-1.97.1.15,"H<SUP>+</SUP> // an oxidized electron carrier // prephenate // 2-methoxy-6-(<i>all-trans</i>-octaprenyl)phenol // 2-methoxy-6-(<i>all trans</i>-octaprenyl)benzene-1,4-diol // 3-phenyl-2-oxopropanoate // CO<SUB>2</SUB> // a reduced two electron carrier","2-methoxy-6-(<i>all trans</i>-octaprenyl)benzene-1,4-diol // 3-phenyl-2-oxopropanoate // CO<SUB>2</SUB> // a reduced two electron carrier",2-(<i>all-trans</i>-polyprenyl)phenol 6-hydroxylase (prephenate),ubiV // ubiU,ubiquinol-8 biosynthesis (anaerobic)
D-serine  ->  pyruvate + ammonium,EC-4.3.1.18,D-serine // pyruvate // ammonium,pyruvate // ammonium,serine hydroxymethyltransferase // D-serine ammonia-lyase,dsdA // glyA,D-serine degradation
(S)-3-hydroxy-(5Z)-tetradecenoyl-CoA + NAD+  <-->  3-oxo-(5Z)-tetradecenoyl-CoA + NADH + H+,EC-1.1.1.35 // EC-1.1.1.211,NAD<sup>+</sup> // (S)-3-hydroxy-(5Z)-tetradecenoyl-CoA // 3-oxo-(5Z)-tetradecenoyl-CoA // NADH // H<SUP>+</SUP>,3-oxo-(5Z)-tetradecenoyl-CoA // NADH // H<SUP>+</SUP>,multifunctional fatty acid oxidation complex subunit alpha // anaerobic multifunctional fatty acid oxidation complex subunit alpha,fadB // fadJ,oleate &beta;-oxidation
D-cysteine + H2O  ->  ammonium + pyruvate + hydrogen sulfide,EC-4.4.1.15,H<sub>2</sub>O // D-cysteine // ammonium // pyruvate // hydrogen sulfide,ammonium // pyruvate // hydrogen sulfide,D-cysteine desulfhydrase,dcyD,
2'-deoxyguanosine 3'-monophosphate[periplasm] + H2O[periplasm]  ->  2'-deoxyguanosine[periplasm] + phosphate[periplasm],EC-3.1.3.34,H<sub>2</sub>O // 2'-deoxyguanosine 3'-monophosphate // 2'-deoxyguanosine // phosphate,2'-deoxyguanosine // phosphate,acid phosphatase / phosphotransferase,aphA,
a phosphate monoester[periplasm] + H2O[periplasm]  ->  an alcohol[periplasm] + phosphate[periplasm],EC-3.1.3.2,a phosphate monoester // H<sub>2</sub>O // an alcohol // phosphate,an alcohol // phosphate,acid phosphatase / phosphotransferase,aphA,
an O4-methylthymine in DNA + a [protein]-L-cysteine  ->  a thymine in DNA + a [protein]-S-methyl-L-cysteine,EC-2.1.1.63,a [protein]-L-cysteine // an <i>O</i><sup>4</sup>-methylthymine in DNA // a thymine in DNA // a [protein]-<i>S</i>-methyl-L-cysteine,a thymine in DNA // a [protein]-<i>S</i>-methyl-L-cysteine,methylated-DNA&mdash;[protein]-cysteine <i>S</i>-methyltransferase // DNA-binding transcriptional dual regulator / DNA repair protein Ada,ada // ogt,
(R)-4'-phosphopantothenoyl-cytidylate + L-cysteine  ->  (R)-4'-phosphopantothenoyl-L-cysteine + CMP + 2 H+,,L-cysteine // (R)-4'-phosphopantothenoyl-cytidylate // (R)-4'-phosphopantothenoyl-L-cysteine // CMP // H<SUP>+</SUP>,(R)-4'-phosphopantothenoyl-L-cysteine // CMP // H<SUP>+</SUP>,fused 4'-phosphopantothenoylcysteine decarboxylase and phosphopantothenoylcysteine synthetase,dfp,
"(7R,8S)-8-amino-7-(carboxyamino)nonanoate + ATP  ->  dethiobiotin + ADP + phosphate + H+",,"ATP // (7<i>R</i>,8<i>S</i>)-8-amino-7-(carboxyamino)nonanoate // dethiobiotin // phosphate // ADP // H<SUP>+</SUP>",dethiobiotin // phosphate // ADP // H<SUP>+</SUP>,dethiobiotin synthetase // dethiobiotin synthetase BidA,bidA // bioD,
GDP + ATP  ->  GTP + ADP,EC-2.7.4.6,ATP // GDP // GTP // ADP,GTP // ADP,adenylate kinase // nucleoside diphosphate kinase,ndk // adk,guanosine ribonucleotides <i>de novo</i> biosynthesis // ppGpp metabolism
N-acetyl-D-glucosamine + ATP  ->  N-acetyl-D-glucosamine 6-phosphate + ADP + H+,EC-2.7.1.59,ATP // <i>N</i>-acetyl-D-glucosamine // <i>N</i>-acetyl-D-glucosamine 6-phosphate // H<SUP>+</SUP> // ADP,<i>N</i>-acetyl-D-glucosamine 6-phosphate // H<SUP>+</SUP> // ADP,<i>N</i>-acetyl-D-glucosamine kinase,nagK,
a [lipoyl-carrier protein]-N6-[(R)-dihydrolipoyl]-L-lysine + NAD+  ->  a [lipoyl-carrier protein]-N6-[(R)-lipoyl]-L-lysine + NADH + H+,EC-1.8.1.4,NAD<sup>+</sup> // a [lipoyl-carrier protein]-<i>N<sup>6</sup></i>-[(R)-dihydrolipoyl]-L-lysine // a [lipoyl-carrier protein]-<i>N<sup>6</sup></i>-[(<i>R</i>)-lipoyl]-L-lysine // NADH // H<SUP>+</SUP>,a [lipoyl-carrier protein]-<i>N<sup>6</sup></i>-[(<i>R</i>)-lipoyl]-L-lysine // NADH // H<SUP>+</SUP>,lipoamide dehydrogenase,lpd,
a phosphatidylglycerol + a phosphatidylethanolamine  ->  a cardiolipin + ethanolamine,EC-2.7.8.41,a phosphatidylethanolamine // a phosphatidylglycerol // a cardiolipin // ethanolamine,a cardiolipin // ethanolamine,cardiolipin synthase C,clsC,cardiolipin biosynthesis III
a (1->4)-alpha-D-glucan[periplasm] + n H2O[periplasm]  ->  a (1->4)-alpha-D-glucan[periplasm] + maltohexaose[periplasm],EC-3.2.1.1,H<sub>2</sub>O // a (1&rarr;4)-&alpha;-D-glucan // maltohexaose,a (1&rarr;4)-&alpha;-D-glucan // maltohexaose,alpha-amylase,malS,
6-decylubiquinol + hydrogen peroxide  <-->  6-decylubiquinone + 2 H2O,EC-1.11.1,hydrogen peroxide // 6-decylubiquinol // 6-decylubiquinone // H<sub>2</sub>O,6-decylubiquinone // H<sub>2</sub>O,cytochrome <i>bd</i>-I ubiquinol:oxygen oxidoreductase,cydA // cydB // cydX // cydH,
"(1S,2R)-1-C-(indol-3-yl)glycerol 3-phosphate + L-serine  ->  L-tryptophan + D-glyceraldehyde 3-phosphate + H2O",EC-4.2.1.20,"L-serine // (1<i>S</i>,2<i>R</i>)-1-C-(indol-3-yl)glycerol 3-phosphate // L-tryptophan // H<sub>2</sub>O // D-glyceraldehyde 3-phosphate",L-tryptophan // H<sub>2</sub>O // D-glyceraldehyde 3-phosphate,"tryptophan synthase subunit alpha // tryptophan synthase, beta subunit dimer",trpB // trpA,L-tryptophan biosynthesis
5'-phosphoribosyl-4-(N-succinocarboxamide)-5-aminoimidazole  ->  fumarate + 5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide,EC-4.3.2.2,5'-phosphoribosyl-4-(N-succinocarboxamide)-5-aminoimidazole // fumarate // 5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide,fumarate // 5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide,adenylosuccinate lyase,purB,inosine-5'-phosphate biosynthesis I
UDP-alpha-D-glucose + alpha-D-galactose 1-phosphate  <-->  UDP-alpha-D-galactose + alpha-D-glucopyranose 1-phosphate,EC-2.7.7.12,&alpha;-D-galactose 1-phosphate // UDP-&alpha;-D-glucose // UDP-&alpha;-D-galactose // &alpha;-D-glucopyranose 1-phosphate,UDP-&alpha;-D-galactose // &alpha;-D-glucopyranose 1-phosphate,galactose-1-phosphate uridylyltransferase,galT,D-galactose degradation I (Leloir pathway)
cob(I)alamin-[corrinoid adenosyltranferase] + ATP + H+  ->  adenosylcob(III)alamin-[corrinoid adenosyltranferase] + triphosphate,,H<SUP>+</SUP> // ATP // cob(I)alamin-[corrinoid adenosyltranferase] // adenosylcob(III)alamin-[corrinoid adenosyltranferase] // triphosphate,adenosylcob(III)alamin-[corrinoid adenosyltranferase] // triphosphate,cobinamide/cobalamin adenosyltransferase,btuR,adenosylcobalamin salvage from cobalamin
"glycine + a tetrahydrofolate + NAD+  ->  a 5,10-methylenetetrahydrofolate + ammonium + CO2 + NADH",EC-1.4.1.27,"NAD<sup>+</sup> // a tetrahydrofolate // glycine // a 5,10-methylenetetrahydrofolate // ammonium // CO<SUB>2</SUB> // NADH","a 5,10-methylenetetrahydrofolate // ammonium // CO<SUB>2</SUB> // NADH",glycine cleavage system,gcvT // gcvH // gcvP // lpd,glycine cleavage // glycine degradation // folate transformations III (<i>E. coli</i>)
5-hydroxy-CTP + H2O  ->  5-hydroxy-CMP + diphosphate + H+,EC-3.6.1,H<sub>2</sub>O // 5-hydroxy-CTP // 5-hydroxy-CMP // diphosphate // H<SUP>+</SUP>,5-hydroxy-CMP // diphosphate // H<SUP>+</SUP>,5-hydroxy-CTP diphosphatase,nudG,pyrimidine deoxyribonucleotides dephosphorylation
alpha-D-mannose 1-phosphate  <-->  D-mannopyranose 6-phosphate,EC-5.4.2.8,&alpha;-D-mannose 1-phosphate // D-mannopyranose 6-phosphate,D-mannopyranose 6-phosphate,phosphomannomutase,cpsG,GDP-mannose biosynthesis
"n UDP-N-acetyl-alpha-D-glucosamine + N-acetyl-D-glucosamine  ->  poly-beta-1,6-N-acetyl-D-glucosamine + n UDP",EC-2.4.1,"<i>N</i>-acetyl-D-glucosamine // UDP-<i>N</i>-acetyl-&alpha;-D-glucosamine // poly-&beta;-1,6-<i>N</i>-acetyl-D-glucosamine // UDP","poly-&beta;-1,6-<i>N</i>-acetyl-D-glucosamine // UDP",poly-<i>N</i>-acetyl-D-glucosamine synthase,pgaD // pgaC,"poly-&beta;-1,6-<i>N</i>-acetyl-D-glucosamine biosynthesis"
an N1-methyladenine in DNA + 2-oxoglutarate + dioxygen  ->  an adenine in DNA + CO2 + formaldehyde + succinate,EC-1.14.11.33,dioxygen // 2-oxoglutarate // an <i>N</i><sup>1</sup>-methyladenine in DNA // an adenine in DNA // CO<SUB>2</SUB> // formaldehyde // succinate,an adenine in DNA // CO<SUB>2</SUB> // formaldehyde // succinate,DNA oxidative demethylase,alkB,
3-hydroxypyruvate  <-->  tartronate semialdehyde,EC-5.3.1.22,3-hydroxypyruvate // tartronate semialdehyde,tartronate semialdehyde,hydroxypyruvate isomerase,hyi,
inosine + phosphate  <-->  alpha-D-ribose-1-phosphate + hypoxanthine,EC-2.4.2.1,phosphate // inosine // &alpha;-D-ribose-1-phosphate // hypoxanthine,&alpha;-D-ribose-1-phosphate // hypoxanthine,nucleoside phosphorylase PpnP // xanthosine phosphorylase // purine nucleoside phosphorylase YfiH // purine nucleoside phosphorylase,yfiH // deoD // xapA // ppnP,purine ribonucleosides degradation // adenine and adenosine salvage III // adenosine nucleotides degradation II
glutaryl-[acp] methyl ester + NAD+  <-  (2E)-enoylglutaryl-[acp] methyl ester + NADH + H+,EC-1.3.1.9,NAD<sup>+</sup> // a glutaryl-[acp] methyl ester // a (2<i>E</i>)-enoylglutaryl-[acp] methyl ester // NADH // H<SUP>+</SUP>,a glutaryl-[acp] methyl ester // NAD<sup>+</sup>,enoyl-[acyl-carrier-protein] reductase,fabI,8-amino-7-oxononanoate biosynthesis I
L-methionine + acetyl-CoA  ->  N-acetyl-L-methionine + coenzyme A + H+,EC-2.3.1.1,acetyl-CoA // L-methionine // <i>N</i>-acetyl-L-methionine // coenzyme A // H<SUP>+</SUP>,<i>N</i>-acetyl-L-methionine // coenzyme A // H<SUP>+</SUP>,L-amino acid N-acyltransferase,mnaT,
a methylated nucleobase within DNA + 2-oxoglutarate + dioxygen  ->  a nucleobase within DNA + CO2 + formaldehyde + succinate,EC-1.14.11.33,2-oxoglutarate // dioxygen // a methylated nucleobase within DNA // a nucleobase within DNA // CO<SUB>2</SUB> // formaldehyde // succinate,a nucleobase within DNA // CO<SUB>2</SUB> // formaldehyde // succinate,,,
"1-(2-carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate + H+  ->  (1S,2R)-1-C-(indol-3-yl)glycerol 3-phosphate + CO2 + H2O",EC-4.1.1.48,"1-(2-carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate // H<SUP>+</SUP> // (1<i>S</i>,2<i>R</i>)-1-C-(indol-3-yl)glycerol 3-phosphate // CO<SUB>2</SUB> // H<sub>2</sub>O","(1<i>S</i>,2<i>R</i>)-1-C-(indol-3-yl)glycerol 3-phosphate // CO<SUB>2</SUB> // H<sub>2</sub>O",fused indole-3-glycerol phosphate synthase/phosphoribosylanthranilate isomerase,trpC,L-tryptophan biosynthesis
citryl-holo [citrate lyase acyl-carrier protein]  ->  oxaloacetate + acetyl-holo [citrate lyase acyl-carrier protein] + H+,EC-4.1.3.34,a citryl-<i>holo</i> [citrate lyase acyl-carrier protein] // oxaloacetate // an acetyl-<i>holo</i> [citrate lyase acyl-carrier protein] // H<SUP>+</SUP>,oxaloacetate // an acetyl-<i>holo</i> [citrate lyase acyl-carrier protein] // H<SUP>+</SUP>,citrate lyase,citD // citF // citE,citrate degradation
(S)-3-hydroxy-(11Z)-octadecenoyl-CoA + NAD+  <-->  3-oxo-(11Z)-octadecenoyl-CoA + NADH + H+,EC-1.1.1.35,NAD<sup>+</sup> // (S)-3-hydroxy-(11Z)-octadecenoyl-CoA // 3-oxo-(11Z)-octadecenoyl-CoA // NADH // H<SUP>+</SUP>,3-oxo-(11Z)-octadecenoyl-CoA // NADH // H<SUP>+</SUP>,multifunctional fatty acid oxidation complex subunit alpha // anaerobic multifunctional fatty acid oxidation complex subunit alpha,fadB // fadJ,
cysteamine S-phosphate[periplasm] + H2O[periplasm]  ->  cysteamine[periplasm] + phosphate[periplasm],EC-3.1.3,H<sub>2</sub>O // cysteamine S-phosphate // cysteamine // phosphate,cysteamine // phosphate,alkaline phosphatase,phoA,
L-glutamate 5-semialdehyde + NAD+ + H2O  ->  L-glutamate + NADH + 2 H+,EC-1.2.1.88,NAD<sup>+</sup> // H<sub>2</sub>O // L-glutamate 5-semialdehyde // L-glutamate // NADH // H<SUP>+</SUP>,L-glutamate // NADH // H<SUP>+</SUP>,fused DNA-binding transcriptional repressor / proline dehydrogenase / 1-pyrroline-5-carboxylate dehydrogenase PutA,putA,proline degradation
6-deoxy-6-sulfo-D-fructose 1-phosphate  ->  (2S)-3-sulfolactaldehyde + glycerone phosphate,EC-4.1.2.57,6-deoxy-6-sulfo-D-fructose 1-phosphate // (2<i>S</i>)-3-sulfolactaldehyde // glycerone phosphate,(2<i>S</i>)-3-sulfolactaldehyde // glycerone phosphate,6-deoxy-6-sulfofructose-1-phosphate aldolase,yihT,sulfoquinovose degradation I
D-glyceraldehyde 3-phosphate + NAD+ + phosphate  <-->  3-phospho-D-glyceroyl phosphate + NADH + H+,EC-1.2.1.12,NAD<sup>+</sup> // phosphate // D-glyceraldehyde 3-phosphate // H<SUP>+</SUP> // 3-phospho-D-glyceroyl phosphate // NADH,H<SUP>+</SUP> // 3-phospho-D-glyceroyl phosphate // NADH,glyceraldehyde-3-phosphate dehydrogenase A,gapA,glycolysis I (from glucose 6-phosphate) // glycolysis II (from fructose 6-phosphate) // gluconeogenesis I
a uridine2604 in 23S rRNA  ->  a pseudouridine2604 in 23S rRNA,EC-5.4.99.21,a uridine<sup>2604</sup> in 23S rRNA // a pseudouridine<sup>2604</sup> in 23S rRNA,a pseudouridine<sup>2604</sup> in 23S rRNA,23S rRNA pseudouridine<sup>2604</sup> and tRNA<sup>Tyr</sup> pseudouridine<sup>35</sup> synthase,rluF,
GTP:uridine 5'-phosphotransferase,EC-2.7.1.48,GTP // uridine // H<SUP>+</SUP> // UMP // GDP,H<SUP>+</SUP> // UMP // GDP,uridine/cytidine kinase,udk,salvage pathways of pyrimidine ribonucleotides
"a 2,3,4-saturated fatty acyl CoA + NADP+  <-  a (2E)-2-enoyl-CoA + NADPH + H+",EC-1.3.1.38,"NADP<sup>+</sup> // a 2,3,4-saturated fatty acyl CoA // a (2<i>E</i>)-2-enoyl-CoA // NADPH // H<SUP>+</SUP>","a 2,3,4-saturated fatty acyl CoA // NADP<sup>+</sup>",trans-2-enoyl-CoA reductase (NADPH),,
2 NAD(P)H + 3 dioxygen  ->  hydrogen peroxide + 2 superoxide + 2 NAD(P)+,EC-1.6.3,dioxygen // NAD(P)H // NAD(P)<sup>+</sup> // hydrogen peroxide // superoxide,NAD(P)<sup>+</sup> // hydrogen peroxide // superoxide,,,
L-tyrosine + S-adenosyl-L-methionine + NADPH  ->  2-iminoacetate + 4-methylphenol + 5'-deoxyadenosine + L-methionine + NADP+ + H+,EC-4.1.99.19,NADPH // L-tyrosine // <i>S</i>-adenosyl-L-methionine // 2-iminoacetate // 4-methylphenol // 5'-deoxyadenosine // L-methionine // NADP<sup>+</sup> // H<SUP>+</SUP>,2-iminoacetate // 4-methylphenol // 5'-deoxyadenosine // L-methionine // NADP<sup>+</sup> // H<SUP>+</SUP>,2-iminoacetate synthase,thiH,thiazole component of thiamine diphosphate biosynthesis I
"(R)-2,3-dihydroxy-3-methylpentanoate + NADP+  <-  (S)-2-aceto-2-hydroxybutanoate + NADPH + H+",EC-1.1.1.86,"NADP<sup>+</sup> // (<i>R</i>)-2,3-dihydroxy-3-methylpentanoate // H<SUP>+</SUP> // (<i>S</i>)-2-aceto-2-hydroxybutanoate // NADPH","(<i>R</i>)-2,3-dihydroxy-3-methylpentanoate // NADP<sup>+</sup>",ketol-acid reductoisomerase (NADP<sup>+</sup>),ilvC,L-isoleucine biosynthesis I (from threonine)
"L-glutamate + 7,8-dihydropteroate + ATP  ->  ADP + 7,8-dihydrofolate monoglutamate + phosphate + H+",EC-6.3.2.12,"ATP // 7,8-dihydropteroate // L-glutamate // H<SUP>+</SUP> // 7,8-dihydrofolate monoglutamate // phosphate // ADP","H<SUP>+</SUP> // 7,8-dihydrofolate monoglutamate // phosphate // ADP",bifunctional folylpolyglutamate synthetase / dihydrofolate synthetase,folC,tetrahydrofolate biosynthesis I
S-methyl-L-methionine + L-homocysteine  ->  2 L-methionine + H+,EC-2.1.1.10,L-homocysteine // <i>S</i>-methyl-L-methionine // H<SUP>+</SUP> // L-methionine,H<SUP>+</SUP> // L-methionine,CP4-6 prophage; homocysteine <i>S</i>-methyltransferase,mmuM,
"selenophosphate + a 5-[(methylamino)methyl]-2-thiouridine34 in tRNA + geranyl diphosphate + H2O  ->  a 5-methylaminomethyl-2-selenouridine34 in tRNA + (2E)-3,7-dimethylocta-2,6-diene-1-thiol + diphosphate + phosphate",EC-2.9.1.3,"H<sub>2</sub>O // geranyl diphosphate // a 5-[(methylamino)methyl]-2-thiouridine<sup>34</sup> in tRNA // selenophosphate // a 5-methylaminomethyl-2-selenouridine<sup>34</sup> in tRNA // (2E)-3,7-dimethylocta-2,6-diene-1-thiol // diphosphate // phosphate","a 5-methylaminomethyl-2-selenouridine<sup>34</sup> in tRNA // (2E)-3,7-dimethylocta-2,6-diene-1-thiol // diphosphate // phosphate",tRNA 2-selenouridine synthase,selU,tRNA-uridine<sup>34</sup> modifications (<i>E. coli</i>)
acetyl-CoA + an N-terminal L-alanyl-[bS18 protein of 30S ribosome]  ->  an N-terminal N-acetyl-L-alanyl-[bS18 protein of 30S ribosome] + coenzyme A + H+,EC-2.3.1.266,an N-terminal L-alanyl-[bS18 protein of 30S ribosome] // acetyl-CoA // an N-terminal <i>N</i>-acetyl-L-alanyl-[bS18 protein of 30S ribosome] // coenzyme A // H<SUP>+</SUP>,an N-terminal <i>N</i>-acetyl-L-alanyl-[bS18 protein of 30S ribosome] // coenzyme A // H<SUP>+</SUP>,protein <i>N</i>-acetyltransferase RimI,rimI,
ppGpp + 2 H2O  ->  pGp + 2 phosphate + 2 H+,,H<sub>2</sub>O // ppGpp // pGp // phosphate // H<SUP>+</SUP>,pGp // phosphate // H<SUP>+</SUP>,5-hydroxy-CTP diphosphatase,nudG,
3-deoxy-D-manno-octulosonate 8-phosphate + H2O  ->  3-deoxy-alpha-D-manno-2-octulosonate + phosphate,EC-3.1.3.45,H<sub>2</sub>O // 3-deoxy-D-<i>manno</i>-octulosonate 8-phosphate // 3-deoxy-&alpha;-D-<i>manno</i>-2-octulosonate // phosphate,3-deoxy-&alpha;-D-<i>manno</i>-2-octulosonate // phosphate,3-deoxy-D-<i>manno</i>-octulosonate 8-phosphate phosphatase KdsC,kdsC,CMP-3-deoxy-D-<I>manno</I>-octulosonate biosynthesis
a [hydroxymethylbilane synthase] ES2 intermediate + porphobilinogen  ->  a [hydroxymethylbilane synthase] ES3 intermediate + ammonium,,porphobilinogen // a [hydroxymethylbilane synthase] ES<sub>2</sub> intermediate // a [hydroxymethylbilane synthase] ES<sub>3</sub> intermediate // ammonium,a [hydroxymethylbilane synthase] ES<sub>3</sub> intermediate // ammonium,hydroxymethylbilane synthase,hemC,
dADP + ATP  ->  dATP + ADP,EC-2.7.4.6,ATP // dADP // dATP // ADP,dATP // ADP,nucleoside diphosphate kinase,ndk,adenosine deoxyribonucleotides <i>de novo</i> biosynthesis II
pyridoxamine 5'-phosphate + dioxygen + H2O  ->  ammonium + hydrogen peroxide + pyridoxal 5'-phosphate,EC-1.4.3.5,pyridoxamine 5'-phosphate // H<sub>2</sub>O // dioxygen // ammonium // hydrogen peroxide // pyridoxal 5'-phosphate,ammonium // hydrogen peroxide // pyridoxal 5'-phosphate,pyridoxine/pyridoxamine 5'-phosphate oxidase,pdxH,pyridoxal 5'-phosphate salvage I
